"gameId","team","year","round","playerId","displayName","gameNumber","Disposals","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","X..Played","Subs"
"2021R104","Adelaide",2021,"R1",2021661124,"Berry, Sam",1,8,6,1,2,0,1,0,7,0,2,3,2,2,2,0,4,5,0,0,0,0,1,80,"-"
"2021R104","Adelaide",2021,"R1",2012662083,"Brown, Luke",168,5,2,0,3,0,0,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,23,"Off"
"2021R104","Adelaide",2021,"R1",2020665315,"Butts, Jordon",3,10,5,3,5,0,0,0,0,5,0,0,3,1,0,0,5,5,1,0,8,0,0,93,"-"
"2021R104","Adelaide",2021,"R1",2018689604,"Doedee, Tom",31,13,9,4,4,0,0,0,4,5,1,1,0,2,0,0,8,6,0,0,7,0,0,84,"-"
"2021R104","Adelaide",2021,"R1",2018703883,"Frampton, Billy",9,14,10,8,4,2,2,7,0,2,0,0,1,0,0,0,5,9,3,4,2,0,0,90,"-"
"2021R104","Adelaide",2021,"R1",2020728148,"Hamill, Will",9,6,5,0,1,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,80,"-"
"2021R104","Adelaide",2021,"R1",2019722465,"Hinge, Mitch",4,7,6,3,1,0,0,0,0,2,1,0,1,1,0,0,2,5,1,0,1,0,0,44,"On"
"2021R104","Adelaide",2021,"R1",2016755444,"Keays, Ben",47,23,15,4,8,0,1,0,4,2,8,7,3,1,1,1,10,12,0,0,1,1,1,87,"-"
"2021R104","Adelaide",2021,"R1",2015754078,"Kelly, Jake",91,4,2,0,2,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,37,"-"
"2021R104","Adelaide",2021,"R1",2013762245,"Laird, Rory",161,27,18,7,9,0,2,0,6,1,4,4,4,3,1,2,8,19,1,1,0,0,1,78,"-"
"2021R104","Adelaide",2021,"R1",2010763943,"Lynch, Tom",153,17,12,8,5,1,0,0,2,0,6,0,0,1,0,0,4,12,1,1,2,0,4,83,"-"
"2021R104","Adelaide",2021,"R1",2020773834,"McAdam, Shane",14,7,3,4,4,1,0,0,1,0,2,0,2,0,1,0,4,3,1,2,0,0,1,70,"-"
"2021R104","Adelaide",2021,"R1",2020777569,"McHenry, Ned",9,12,7,1,5,2,1,0,3,0,1,2,3,1,2,0,5,6,0,1,0,0,0,87,"-"
"2021R104","Adelaide",2021,"R1",2020772453,"McPherson, Andrew",10,10,7,2,3,0,0,0,4,1,1,0,5,1,2,0,5,3,1,0,1,0,0,85,"-"
"2021R104","Adelaide",2021,"R1",2018774782,"Murphy, Lachlan",45,11,6,0,5,1,1,0,4,1,2,3,4,3,0,0,8,5,0,0,0,0,0,87,"-"
"2021R104","Adelaide",2021,"R1",2016798113,"OBrien, Reilly",38,8,3,2,5,0,0,22,1,1,1,1,3,3,1,0,8,3,1,0,0,0,0,90,"-"
"2021R104","Adelaide",2021,"R1",2021823478,"Rowe, James",1,16,11,5,5,2,0,0,3,0,4,2,0,2,0,0,9,7,1,0,0,1,0,82,"-"
"2021R104","Adelaide",2021,"R1",2020839071,"Schoenberg, Harry",9,16,6,3,10,1,1,0,3,1,1,2,1,2,1,0,7,9,0,0,1,0,1,78,"-"
"2021R104","Adelaide",2021,"R1",2012834096,"Seedsman, Paul",111,21,14,8,7,0,1,0,1,4,4,1,5,1,2,0,6,13,0,0,1,0,1,81,"-"
"2021R104","Adelaide",2021,"R1",2009835778,"Sloane, Rory",212,20,11,5,9,0,0,0,4,3,5,7,1,3,0,0,13,8,0,0,4,0,0,80,"-"
"2021R104","Adelaide",2021,"R1",2011832909,"Smith, Brodie",184,21,14,6,7,0,1,0,0,6,3,0,7,0,2,0,4,14,0,0,5,0,0,89,"-"
"2021R104","Adelaide",2021,"R1",2009877055,"Walker, Taylor",204,18,11,7,7,5,2,2,1,0,1,2,3,2,1,3,14,7,1,4,3,0,2,95,"-"
"2021R203","Adelaide",2021,"R2",2021661124,"Berry, Sam",2,7,5,1,2,0,4,0,10,0,0,2,0,1,0,0,5,2,0,1,1,0,0,64,"-"
"2021R203","Adelaide",2021,"R2",2020665315,"Butts, Jordon",4,9,4,2,5,0,0,0,0,5,0,0,2,1,1,0,2,7,0,0,3,0,0,88,"-"
"2021R203","Adelaide",2021,"R2",2018689604,"Doedee, Tom",32,21,12,3,9,0,0,0,4,9,1,0,3,1,2,0,8,10,1,0,5,0,0,93,"-"
"2021R203","Adelaide",2021,"R2",2018703883,"Frampton, Billy",10,7,2,2,5,0,0,5,3,1,1,0,2,0,1,0,4,3,1,0,0,0,1,80,"-"
"2021R203","Adelaide",2021,"R2",2020728148,"Hamill, Will",10,11,5,0,6,0,0,0,2,1,0,1,3,2,0,0,8,4,0,0,1,0,0,88,"-"
"2021R203","Adelaide",2021,"R2",2019748529,"Jones, Chayce",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"2021R203","Adelaide",2021,"R2",2016755444,"Keays, Ben",48,28,19,2,9,1,0,0,2,1,11,8,4,2,1,0,10,13,0,0,1,0,0,83,"-"
"2021R203","Adelaide",2021,"R2",2013762245,"Laird, Rory",162,30,15,2,15,0,2,0,4,1,6,10,3,4,2,0,14,15,0,0,0,0,2,77,"-"
"2021R203","Adelaide",2021,"R2",2020773834,"McAdam, Shane",15,11,7,4,4,4,2,0,1,1,1,0,1,2,1,0,6,5,1,3,0,0,0,75,"-"
"2021R203","Adelaide",2021,"R2",2020777569,"McHenry, Ned",10,13,7,3,6,0,1,0,1,2,1,0,3,0,0,0,3,11,0,1,0,0,0,84,"-"
"2021R203","Adelaide",2021,"R2",2020772453,"McPherson, Andrew",11,6,3,2,3,0,0,0,1,3,1,0,0,1,0,0,2,3,0,0,2,0,0,81,"-"
"2021R203","Adelaide",2021,"R2",2018774782,"Murphy, Lachlan",46,12,7,2,5,0,2,0,3,0,2,5,0,1,0,0,9,4,0,0,1,0,0,81,"-"
"2021R203","Adelaide",2021,"R2",2021778762,"Murray, Nick",1,10,5,3,5,0,0,0,1,2,0,1,2,0,0,0,4,6,1,0,3,0,0,85,"-"
"2021R203","Adelaide",2021,"R2",2021823478,"Rowe, James",2,8,4,3,4,0,0,0,2,0,2,0,2,0,0,0,3,5,0,0,0,0,1,79,"-"
"2021R203","Adelaide",2021,"R2",2020839071,"Schoenberg, Harry",10,14,8,4,6,0,1,0,4,1,3,1,2,0,0,0,3,11,0,1,0,0,0,77,"-"
"2021R203","Adelaide",2021,"R2",2020838794,"Sholl, Lachlan",10,16,9,2,7,0,0,0,0,2,5,0,2,0,0,0,6,10,0,0,0,0,0,89,"-"
"2021R203","Adelaide",2021,"R2",2009835778,"Sloane, Rory",213,21,12,3,9,0,0,0,5,2,6,6,2,4,0,0,11,9,0,0,3,0,1,78,"-"
"2021R203","Adelaide",2021,"R2",2011832909,"Smith, Brodie",185,16,11,2,5,0,0,0,0,6,0,1,1,0,0,0,0,11,0,0,3,2,0,80,"-"
"2021R203","Adelaide",2021,"R2",2009877055,"Walker, Taylor",205,15,13,6,2,6,3,3,4,0,2,0,1,4,1,1,10,6,1,3,2,0,1,84,"-"
"2021R303","Adelaide",2021,"R3",2021661124,"Berry, Sam",3,11,4,2,7,1,1,0,4,0,1,1,4,3,3,0,6,6,1,1,2,0,0,77,"-"
"2021R303","Adelaide",2021,"R3",2012662083,"Brown, Luke",169,13,10,2,3,0,0,0,2,4,3,2,1,1,0,0,5,4,0,0,2,0,0,82,"-"
"2021R303","Adelaide",2021,"R3",2020665315,"Butts, Jordon",5,10,9,4,1,0,0,0,2,5,1,0,1,2,1,0,4,5,1,0,13,0,0,97,"-"
